Industry,Count,Perc of Total Deal
Accounting,1,1.7
Apparel & Fashion,1,1.7
Automotive,1,1.7
Computer Software,33,55.0
Construction,1,1.7
Electrical/Electronic Manufacturing,1,1.7
Financial Services,4,6.7
Gambling & Casinos,1,1.7
Higher Education,1,1.7
Hospital & Health Care,1,1.7
Management Consulting,1,1.7
Marketing and Advertising,1,1.7
Medical Devices,2,3.3
Non-Profit Organization Management,1,1.7
Publishing,1,1.7
Real Estate,1,1.7
Staffing and Recruiting,3,5.0
Telecommunications,1,1.7
Transportation/Trucking/Railroad,2,3.3
Utilities,1,1.7
Venture Capital & Private Equity,1,1.7
